ID,DOMAIN,COUNT
300741,19200 19200 19200 85000 1 9 4 -1 2 5,1
469129,7800 7800 7800 42000 0 15 3 10 0 1,1
114807,8000 8000 8000 74300 0 18 0 2 2 1,1
219463,30000 30000 30000 54000 0 12 3 10 1 1,1
383450,20000 20000 20000 100000 0 8 4 3 1 5,1
387203,22400 22400 22400 70000 0 13 3 2 1 5,1
456769,24000 24000 24000 118000 0 8 4 9 0 5,1
232134,6400 6400 6400 75000 0 7 2 1 2 5,1
91175,9000 9000 9000 165000 0 6 2 7 2 5,1
252,7500 7500 7500 28800 0 16 3 0 1 1,1
88529,30000 30000 30000 120000 1 25 1 5 0 1,1
40254,27300 27300 27300 155000 0 15 3 3 0 5,1
138115,15600 15600 15600 120000 1 17 0 2 1 1,1
241555,15450 15450 15450 180000 0 18 0 10 1 0,1
249613,35000 35000 35000 144000 1 25 6 3 0 1,1
324667,8700 8700 8700 15000 0 23 1 -1 2 0,1
32562,1000 1000 1000 22000 0 24 1 -1 1 1,1
332394,29600 29600 29600 90000 0 11 4 4 0 1,1
480030,3025 3025 3025 50000 0 11 4 7 0 1,1
212468,29575 29575 29575 90000 1 16 0 3 1 5,1
255229,20675 20675 20675 77064 0 14 3 1 2 5,1
226011,8000 8000 8000 32000 0 12 3 7 0 5,1
462610,16000 16000 16000 51300 0 9 4 6 1 1,1
475120,10500 10500 10500 155000 0 12 3 10 0 1,1
324120,15000 15000 15000 49500 1 11 4 10 1 1,1
263929,30000 30000 30000 143000 1 12 3 2 1 1,1
348431,8000 8000 8000 118000 0 14 3 10 0 1,1
158961,9600 9600 9600 123500 0 10 4 0 2 1,1
16038,6925 6925 6925 39000 0 16 0 3 1 5,1
59740,3000 3000 3000 32000 0 16 3 0 0 5,1
406939,26000 26000 26000 66000 0 6 2 10 2 1,1
319170,25000 25000 25000 86000 1 17 0 10 2 5,1
475093,30000 30000 30000 75000 0 12 3 8 1 0,1
58697,6000 6000 6000 75000 0 9 4 8 2 5,1
342373,16000 16000 15750 200000 0 9 4 1 1 5,1
301806,7000 7000 6975 13812 0 16 3 -1 0 5,1
186574,15000 15000 15000 105000 1 16 3 6 2 1,1
123468,20500 20500 20500 110000 1 30 5 7 1 5,1
73916,35000 35000 35000 99372 1 11 4 10 1 5,1
116401,13000 13000 13000 109000 1 13 3 2 2 1,1
481364,16000 16000 16000 99000 0 10 4 9 2 0,1
313260,32000 32000 32000 63300 1 14 3 10 0 1,1
71330,5000 5000 5000 105000 0 10 4 1 1 0,1
218664,10000 10000 10000 44000 0 17 0 10 1 1,1
262780,20000 20000 20000 40500 1 16 3 10 1 1,1
420574,10000 10000 10000 89000 1 21 5 10 0 1,1
423704,20000 20000 20000 67310 0 6 2 3 1 1,1
114460,18000 18000 17950 41000 1 21 1 0 0 0,1
209158,12000 12000 12000 96000 0 19 0 -1 0 1,1
116634,14000 14000 14000 54000 1 15 3 10 0 1,1
208154,16550 16550 16550 68000 0 5 2 4 1 0,1
268222,19000 19000 19000 30600 1 27 1 -1 0 1,1
279201,5000 5000 5000 50000 0 10 4 6 2 0,1
317496,10000 10000 10000 32600 0 9 4 -1 0 1,1
373242,16000 16000 16000 136000 1 15 3 10 1 0,1
424682,5500 5500 5450 60000 0 7 2 9 1 0,1
161416,14400 14400 14400 60000 0 16 0 10 1 5,1
179431,15000 15000 15000 34320 1 25 1 3 2 1,1
161660,7000 7000 7000 70000 0 9 4 9 2 5,1
46568,28000 28000 28000 119000 0 26 1 2 2 5,1
30624,3600 3600 3600 39000 0 13 3 10 0 0,1
457233,6125 6125 6125 37315 0 6 2 7 1 5,1
260783,18825 18825 18675 95000 1 19 1 9 0 1,1
246253,9600 9600 9600 27733 0 15 0 10 0 5,1
416648,15000 15000 15000 225000 0 12 3 0 2 1,1
338831,30000 30000 29950 136118 0 7 2 10 0 1,1
147052,9000 9000 9000 51000 0 8 4 10 1 1,1
456579,15000 15000 15000 65111 1 10 4 4 1 5,1
387238,16425 16425 16425 85000 1 18 1 10 0 5,1
78627,12500 12500 12500 50000 0 7 2 10 1 1,1
288410,3200 3200 3200 25000 0 24 1 0 0 5,1
496346,36000 36000 36000 98000 0 6 2 3 1 5,1
247856,10000 10000 9975 120000 0 7 2 9 2 1,1
112960,17500 17500 17500 39000 0 10 4 5 2 1,1
5825,8000 8000 8000 205000 0 9 4 3 0 5,1
283119,30000 30000 30000 90000 1 12 3 8 1 0,1
423028,16000 16000 16000 63000 0 12 3 10 1 5,1
41147,9000 9000 8750 28000 0 21 0 -1 0 0,1
335099,29625 29625 29625 120000 1 19 1 6 1 1,1
330353,4000 4000 4000 85000 0 9 4 3 1 1,1
453121,12000 12000 12000 180000 1 7 2 9 2 1,1
419280,9500 9500 9500 62000 0 10 4 10 1 5,1
312541,24575 24575 24575 80000 1 19 0 3 0 1,1
11360,16000 16000 16000 89000 0 15 3 9 0 0,1
